"","Crime.ID","Month","Reported.by","Falls.within","Longitude","Latitude","Location","LSOA.code","LSOA.name","Crime.type","Last.outcome.category","Context"
"610","694490753b393576ab978ec0704267159c73cefa7e6b088267dbff3675dc2adb","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.300198,51.738582,"On or near Ger-Y-Gwendraeth","W01000671","Carmarthenshire 018B","Criminal damage and arson","Under investigation",NA
"611","99be59be17d93cc3c2ebfc9af9e65e055e1fdeb815e3255a8159a0dcafd11a2d","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.300198,51.738582,"On or near Ger-Y-Gwendraeth","W01000671","Carmarthenshire 018B","Criminal damage and arson","Under investigation",NA
"612","7f549ddd273364a39d55be0a661ec3d38ad7b65412c699b5c7f1a51ecc5ab125","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.300198,51.738582,"On or near Ger-Y-Gwendraeth","W01000671","Carmarthenshire 018B","Criminal damage and arson","Under investigation",NA
"622","0d52e69937fd3eea54f19aa3f5b76f5e9a1a18f2b4dfba90b08ab7ae89613019","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.243363,51.720518,"On or near Pant Y Gino","W01000729","Carmarthenshire 018C","Criminal damage and arson","Under investigation",NA
"634","4fe0adf678d1d8d45d39b36ebab7d340456c51ef6b8abd45462e962df23adc15","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.088416,51.700453,"On or near Pedestrian Subway","W01000690","Carmarthenshire 019A","Criminal damage and arson","Under investigation",NA
"635","6c69cea4030bbbf37c2254264c3f27f42988ffced206399cbc8ac9c76a56e37d","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.089414,51.690697,"On or near Hendre Road","W01000690","Carmarthenshire 019A","Criminal damage and arson","Under investigation",NA
"639","cca71d9e13e8b9dc8aef69cd1adb8f293e876bb1081d87a0269b1880d2b845a2","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.102068,51.68557,"On or near Harddfan","W01000691","Carmarthenshire 019B","Criminal damage and arson","No further action at this time",NA
"686","286af6d845f5f98e9106b8040ccf5097f0d0cf5acfe836d1e57c9f6832be7ac7","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.142729,51.696453,"On or near Ynyswen","W01000655","Carmarthenshire 020C","Criminal damage and arson","Under investigation",NA
"687","921fbd6e7677f5e15ed509eea26851f0dcfd2a592c7f217598774c75f83bfd5e","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.149981,51.696806,"On or near Pleasant View","W01000655","Carmarthenshire 020C","Criminal damage and arson","No further action at this time",NA
"698","d12b0d6ee329992c1e4b69b134e85583e037c617155f9332a799acba0aa45d9e","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.249425,51.685132,"On or near Police Station","W01000632","Carmarthenshire 021A","Criminal damage and arson","Awaiting court outcome",NA
"705","9ffa06e9fd77845aa38c283f5b90652514e5550fe04cfba0bc3fcdee1670acc3","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.25885,51.682361,"On or near Heol Vaughan","W01000633","Carmarthenshire 021B","Criminal damage and arson","Under investigation",NA
"706","ed664474b8ac54c049194176734e9a8fe8bf7950004fbc9f6248f03468c9d427","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.243844,51.682568,"On or near Silver Terrace","W01000633","Carmarthenshire 021B","Criminal damage and arson","No further action at this time",NA
"714","9f1053632b5bc5175784edc5723a7daeb54d0dadbc67a810879d72e787480189","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.258743,51.686023,"On or near Burry Road","W01000711","Carmarthenshire 021E","Criminal damage and arson","No further action at this time",NA
"715","8c68aa152335937670924950a9a127b221406aec04f3686f998343255a6bc6e4","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.270949,51.684763,"On or near Glan Aber","W01000711","Carmarthenshire 021E","Criminal damage and arson","No further action at this time",NA
"742","e683c9780a176be68735756ad2e5f6bf5cf8a470c16e0fb73e5a008a860bbe3e","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.161451,51.686983,"On or near Mount Pleasant Buildings","W01000703","Carmarthenshire 022A","Criminal damage and arson","Under investigation",NA
"743","bdbd5714008be69a19a04381c845d1026fc8967f0101f44dc6bcba6fc4471c14","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.159585,51.685776,"On or near Gilbert Road","W01000703","Carmarthenshire 022A","Criminal damage and arson","Under investigation",NA
"744","ffc1bc43333a8c39822d16acf683955be8e64d6bca0f3bcfc9d0036c46a68447","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.156854,51.68311,"On or near Island Place","W01000703","Carmarthenshire 022A","Criminal damage and arson","No further action at this time",NA
"745","a36ecfe0159644d07ec734200f467ef7521d1010f882d94dce430113bbdf26f0","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.159585,51.685776,"On or near Gilbert Road","W01000703","Carmarthenshire 022A","Criminal damage and arson","Under investigation",NA
"746","1c6562d01e0cfe729be040ce63738976881b1c62fc94f865eeda5a8ce02af8c2","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.159322,51.682687,"On or near Market Street","W01000703","Carmarthenshire 022A","Criminal damage and arson","Under investigation",NA
"747","18d1be831c0b96a5a6825c07f2a0517beddae07b058c8d083bf3431c069c20de","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.159322,51.682687,"On or near Market Street","W01000703","Carmarthenshire 022A","Criminal damage and arson","No further action at this time",NA
"789","690d4fdcd397eea55522ae954551ff8973ecdee4b992b77217cace6976e26b10","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.151034,51.690951,"On or near Yr Hafod","W01000705","Carmarthenshire 022C","Criminal damage and arson","No further action at this time",NA
"810","fce7f34e7e7ff42910e7da83a9bc742c03acc0cf741899a853a1ff26b920140a","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.163578,51.683355,"On or near Vauxhall Road","W01000653","Carmarthenshire 023A","Criminal damage and arson","No further action at this time",NA
"811","e612f2aee16f433ff41c0307764f7dac7e51838f384d0655bed10886ca148afe","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.163578,51.683355,"On or near Vauxhall Road","W01000653","Carmarthenshire 023A","Criminal damage and arson","No further action at this time",NA
"899","943cf2c199a1e6630c2070a672bad42baadbe01513a37611583448cd11db192e","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.1425,51.680594,"On or near Llwyn Close","W01000628","Carmarthenshire 024A","Criminal damage and arson","Under investigation",NA
"900","cda24c99c554a50978f109749d93da7c37a59ea3d21ba49522017412514edab8","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.139305,51.682784,"On or near Y Clos","W01000628","Carmarthenshire 024A","Criminal damage and arson","Under investigation",NA
"901","305754c84a363eb3e78d3240a0408c2265e0cf3ae205e6dc07a7dc6a5a045c77","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.140613,51.675845,"On or near Shopping Area","W01000628","Carmarthenshire 024A","Criminal damage and arson","Under investigation",NA
"928","6944de3c4571888864603ed44731fe67df16f737cbcdb510d210af65040b85b8","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.150188,51.684402,"On or near Fransham Street","W01000629","Carmarthenshire 024B","Criminal damage and arson","Awaiting court outcome",NA
"929","d6fdc355b9ed6d2c64538b8be7808e74eeb0f649d44f5b7160a61d3c7ceec66f","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.152513,51.684305,"On or near James Street","W01000629","Carmarthenshire 024B","Criminal damage and arson","No further action at this time",NA
"965","519a4b131e65739b04fef648e9e5ba137d95edd335bdfc3e920b9aaab98e64b0","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.151288,51.676774,"On or near Y Bwthyn","W01000631","Carmarthenshire 024D","Criminal damage and arson","Under investigation",NA
"966","214c27d61f8dfac698df2a2a141aba2855187cae2ade773b71001eebe92ec764","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.149803,51.675362,"On or near Martin Road","W01000631","Carmarthenshire 024D","Criminal damage and arson","No further action at this time",NA
"983","48c53386365eb3bf1e1fb1368807ef7874c581366cdd115bfa3320b5c43a2527","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.116456,51.676436,"On or near Meadow Court","W01000635","Carmarthenshire 025A","Criminal damage and arson","Offender given a caution",NA
"998","8d44967d91c346c3f5f319e95c97712d14cf17357db4fe456007cdf00a174217","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.131901,51.682829,"On or near Llandafen Road","W01000706","Carmarthenshire 025C","Criminal damage and arson","Under investigation",NA
"1010","c4d934a39efaa2e0be4d77365d3457d0e05ca239c2ac181f5110134d170993c6","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.116055,51.681488,"On or near Trallwm Road","W01000707","Carmarthenshire 025D","Criminal damage and arson","Offender given a caution",NA
"1011","d410521e070052618ba75e342161febbed654fac8dec148e834df93f3a52a334","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.116055,51.681488,"On or near Trallwm Road","W01000707","Carmarthenshire 025D","Criminal damage and arson","No further action at this time",NA
"1029","517716095fd1ca62ebddfb99b19ede63cace5ca914219fcb2e3f789839187b22","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.124226,51.679892,"On or near Bro-Wen","W01000708","Carmarthenshire 025E","Criminal damage and arson","Under investigation",NA
"1048","a5fb7a9633855c512db890a939fc20192a948185cc11bc704f75e0722e0532d0","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.157437,51.671022,"On or near New Dock Road","W01000659","Carmarthenshire 026A","Criminal damage and arson","Under investigation",NA
"1049","484ebe1ea4eb9f5f60940d240cd5a5177e9846e626850fcd3289f1afebb6bccc","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.159631,51.672448,"On or near Marged Street","W01000659","Carmarthenshire 026A","Criminal damage and arson","Under investigation",NA
"1057","d676bcf2a681b35fe0f82f7bda81c260816a5af9bd4974b253797d8657b47165","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.167069,51.671636,"On or near Caroline Street","W01000660","Carmarthenshire 026B","Criminal damage and arson","Offender given a caution",NA
"1071","8da72ae79adf26441cace973faf28ea835b611ccf72fd631993aef90764b1f61","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.164491,51.677017,"On or near Charles Terrace","W01000732","Carmarthenshire 026D","Criminal damage and arson","Under investigation",NA
"1108","7736ddb3dae54cbc3947db8755e061dbf797ea830bc3fa2e89b5dbeb65199cc5","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.156202,51.678527,"On or near Prendergast Street","W01000733","Carmarthenshire 026E","Criminal damage and arson","No further action at this time",NA
"1109","72385d84cb644afd1194016d025055cdcdb62a1067321ad2d4148b1ac271ea75","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.157064,51.680822,"On or near Pottery Street","W01000733","Carmarthenshire 026E","Criminal damage and arson","No further action at this time",NA
"1110","186b524d9d24e3d20fcdc9e28460a2077822e5f761550fa1087901e3a76cafa7","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.161703,51.677095,"On or near Station Road","W01000733","Carmarthenshire 026E","Criminal damage and arson","Under investigation",NA
"1111","40be01f9595f1bc6051939c26cbfbeb78867ee27b8f0bdbd665408d907e1a2c2","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.158035,51.680256,"On or near Upper Robinson Street","W01000733","Carmarthenshire 026E","Criminal damage and arson","No further action at this time",NA
"1112","e49e9df73a092666dcf53a4cb6cf010b1766245dc1cb081ca3080c7ee641b713","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.157064,51.680822,"On or near Pottery Street","W01000733","Carmarthenshire 026E","Criminal damage and arson","Under investigation",NA
